ej_name,CASRN,CASRN_nohyphens,SRS_id,subsKey,systematicName,epaName,substanceType,categoryClass,iupacName,molecularWeight,molecularFormula,inchiNotation,smilesNotation,rsei_weight
"1,1-Dichloroethane",75-34-3,75343,5520,48932,"Ethane, 1,1-dichloro-","1,1-Dichloroethane",Chemical Substance,Regulatory Category,NA,98.96,C2H4Cl2,NA,C(Cl)(Cl)C,570
"1,1,2-Trichloroethane",79-00-5,79005,7518,48739,"Ethane, 1,1,2-trichloro-","1,1,2-Trichloroethane",Chemical Substance,Regulatory Category,NA,133.4,C2H3Cl3,NA,ClCC(Cl)Cl,5700
"1,2-Dichloroethane",107-06-2,107062,24117,47485,"Ethane, 1,2-dichloro-","1,2-Dichloroethane",Chemical Substance,Regulatory Category,NA,98.96,C2H4Cl2,NA,ClCCCl,93000
"1,2-Dichloropropane",78-87-5,78875,7393,48750,"Propane, 1,2-dichloro-","1,2-Dichloropropane",Chemical Substance,Regulatory Category,NA,112.99,C3H6Cl2,NA,ClCC(Cl)C,37000
"1,3-Butadiene",106-99-0,106990,24042,47490,"1,3-Butadiene","1,3-Butadiene",Chemical Substance,Regulatory Category,"Buta-1,3-diene",54.09,C4H6,"1S/C4H6/c1-3-4-2/h3-4H,1-2H2",C=CC=C,110000
Butyl benzyl phthalate,85-68-7,85687,10470,48846,"1,2-Benzenedicarboxylic acid, 1-butyl 2-(phenylmethyl) ester",Butyl benzyl phthalate,Chemical Substance,Regulatory Category,NA,312.37,C19H20O4,NA,O=C(OCc1ccccc1)c1c(cccc1)C(=O)OCCCC,NA
D4,556-67-2,556672,53975,90174,"Cyclotetrasiloxane, 2,2,4,4,6,6,8,8-octamethyl-",Octamethylcyclotetrasiloxane,Chemical Substance,Regulatory Category,NA,296.62,C8H24O4Si4,NA,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,NA
Di-ethylhexyl phthalate,117-81-7,117817,29934,95501,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-ethylhexyl) ester",Di(2-ethylhexyl) phthalate,Chemical Substance,Regulatory Category,NA,390.56,C24H38O4,NA,O=C(OCC(CCCC)CC)c1c(cccc1)C(=O)OCC(CCCC)CC,14000
Di-isobutyl phthalate,84-69-5,84695,9993,48876,"1,2-Benzenedicarboxylic acid, 1,2-bis(2-methylpropyl) ester",Diisobutyl phthalate,Chemical Substance,Regulatory Category,NA,278.35,C16H22O4,NA,O=C(OCC(C)C)c1c(cccc1)C(=O)OCC(C)C,NA
Dibutyl phthalate,84-74-2,84742,10025,48873,"1,2-Benzenedicarboxylic acid, 1,2-dibutyl ester",Dibutyl phthalate,Chemical Substance,Regulatory Category,NA,278.35,C16H22O4,NA,O=C(OCCCC)c1c(cccc1)C(=O)OCCCC,10
Dicyclohexyl phthalate,84-61-7,84617,9944,48881,"1,2-Benzenedicarboxylic acid, 1,2-dicyclohexyl ester",Dicyclohexyl phthalate,Chemical Substance,Regulatory Category,NA,330.42,C20H26O4,NA,O=C(OC1CCCCC1)c1c(cccc1)C(=O)OC1CCCCC1,NA
DIDP,26761-40-0,26761400,241752,93166,"1,2-Benzenedicarboxylic acid, 1,2-diisodecyl ester",Diisodecyl phthalate,Chemical Substance,Regulatory Category,NA,446.67,C28H46O4,NA,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,NA
DIDP,68515-49-1,68515491,447029,11215,"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",C10-Rich di-C9-11-branched alkyl phthalates,Chemical Substance,UVCB,NA,NA,Unspecified,"1S/C28H46O4/c1-23(2)17-11-7-5-9-15-21-31-27(29)25-19-13-14-20-26(25)28(30)32-22-16-10-6-8-12-18-24(3)4/h13-14,19-20,23-24H,5-12,15-18,21-22H2,1-4H3",CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,NA
DINP,28553-12-0,28553120,249813,92576,"1,2-Benzenedicarboxylic acid, 1,2-diisononyl ester",Diisononyl phthalate,Chemical Substance,Regulatory Category,NA,418.62,C26H42O4,NA,O=C(c1ccccc1C(=O)OCCCCCCC(C)C)OCCCCCCC(C)C,NA
DINP,68515-48-0,68515480,447011,11216,"1,2-Benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich","Di(C8-10, C9 rich) branched alkyl phthalates",Chemical Substance,UVCB,NA,NA,Unspecified,NA,NA,NA
Ethylene dibromide,106-93-4,106934,23986,47495,"Ethane, 1,2-dibromo-",Ethylene dibromide,Chemical Substance,Regulatory Category,NA,187.86,C2H4Br2,NA,BrCCBr,2100000
Formaldehyde,50-00-0,50000,1008,49201,Formaldehyde,Formaldehyde,Chemical Substance,Regulatory Category,Formaldehyde,30.03,CH2O,1S/CH2O/c1-2/h1H2,NA,46000
HHCB,1222-05-5,1222055,81414,94893,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-","1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",Chemical Substance,Regulatory Category,"4,6,6,7,8,8-Hexamethyl-1,3,4,6,7,8-hexahydroindeno[5,6-c]pyran",258.4,C18H26O,"1/C18H26O/c1-11-9-19-10-13-7-15-16(8-14(11)13)18(5,6)12(2)17(15,3)4/h7-8,11-12H,9-10H2,1-6H3",CC1C(C)(C)C2=CC3=C(C=C2C1(C)C)C(C)COC3,NA
